source,target,weight,source_community,target_community
azure,.net,20.933192346640457,0,0
azure,amazon-web-services,32.322524219339904,0,2
azure,asp.net,48.40702996199019,0,0
azure,asp.net-web-api,24.37090250532431,0,0
azure,c#,32.35092522005943,0,0
.net,sql-server,20.501743858149062,0,0
.net,asp.net,28.074400427611117,0,0
.net,entity-framework,62.167895042923824,0,0
.net,wpf,37.14658992420456,0,0
.net,linq,23.19190040565183,0,0
.net,wcf,50.56672861589973,0,0
.net,c#,24.80008942291756,0,0
sql-server,asp.net,26.61371372468893,0,0
sql-server,asp.net-web-api,28.01067925660409,0,0
sql-server,c#,24.39914442262329,0,0
sql-server,entity-framework,32.94744601093195,0,0
sql-server,linq,21.31860679884144,0,0
sql-server,sql,21.30994959394633,0,0
sql-server,wcf,24.98353120101788,0,0
sql-server,vb.net,32.198071014100535,0,0
asp.net,sql,39.77803622570551,0,0
asp.net,c#,33.661083176336234,0,0
asp.net,asp.net-web-api,50.984730766476574,0,0
asp.net,jquery,33.661083176336234,0,3
asp.net,entity-framework,31.03648178393663,0,0
asp.net,mvc,38.87998222920348,0,0
asp.net,wpf,26.032697164489267,0,0
asp.net,linq,29.840445766924983,0,0
asp.net,wcf,31.62020230471286,0,0
asp.net,vb.net,31.510711170360768,0,0
entity-framework,asp.net-web-api,22.210413043130057,0,0
entity-framework,c#,20.42587841667116,0,0
entity-framework,wpf,24.153685861107466,0,0
entity-framework,linq,39.37662666227728,0,0
entity-framework,wcf,24.43382880528071,0,0
wpf,c#,47.56352702530362,0,0
wpf,linq,30.34794743352026,0,0
wpf,wcf,20.11309966430225,0,0
linq,c#,26.032697164489267,0,0
linq,wcf,23.082664020750425,0,0
wcf,asp.net-web-api,48.583173464083416,0,0
wcf,c#,29.097834547698525,0,0
c#,asp.net-web-api,28.16821301315872,0,0
c#,sql,50.79184563415286,0,0
c#,vb.net,59.82678558413366,0,0
c#,xamarin,22.175589109335288,0,0
c#,unity3d,48.40702996199019,0,0
c#,visual-studio,21.6722646057341,0,0
tdd,agile,59.67328948689907,1,1
codeigniter,ajax,80.4485421720991,3,3
codeigniter,mysql,47.38627215537402,3,3
codeigniter,jquery,28.723178220098205,3,3
codeigniter,laravel,48.1136690894626,3,3
codeigniter,php,22.82841216302881,3,3
codeigniter,wordpress,23.76407299505805,3,3
ajax,jquery,28.15902333873328,3,3
ajax,mysql,31.58127774617085,3,3
ajax,css,40.95142172605998,3,3
ajax,php,23.711346281144564,3,3
ajax,javascript,47.38627215537402,3,3
ajax,json,21.585694763313093,3,12
jquery,angularjs,26.748821548289044,3,3
jquery,bootstrap,20.11309966430225,3,3
jquery,css,25.67647418219353,3,3
jquery,html,28.356535431019815,3,3
jquery,html5,31.18349509959109,3,3
jquery,javascript,20.933192346640457,3,3
jquery,json,22.14448701181891,3,12
jquery,wordpress,21.585694763313093,3,3
jquery,sass,23.76407299505805,3,3
jquery,php,21.30994959394633,3,3
jquery,twitter-bootstrap,38.88811575032741,3,3
jquery,mysql,24.71706557378606,3,3
jquery,twitter-bootstrap-3,27.09695712998492,3,3
mysql,apache,22.40615464900445,3,10
mysql,css,24.71031260188158,3,3
mysql,html,80.89104614147385,3,3
mysql,javascript,22.320432253935472,3,3
mysql,laravel,28.403647769064776,3,3
mysql,mongodb,26.04945930410044,3,9
mysql,php,25.22293164314289,3,3
mysql,postgresql,25.613903617043626,3,9
css,angularjs,80.4485421720991,3,3
css,bootstrap,26.748821548289044,3,3
css,photoshop,30.728425581793207,3,3
css,html,25.185135956324604,3,3
css,javascript,62.167895042923824,3,3
css,html5,45.91465123552504,3,3
css,twitter-bootstrap,24.673147548722167,3,3
css,less,22.14448701181891,3,3
css,wordpress,38.95749217569616,3,3
css,sass,25.000233473145794,3,3
css,php,29.299880033528957,3,3
php,html,27.71554342863794,3,3
php,html5,30.144660032562147,3,3
php,javascript,80.89104614147385,3,3
php,laravel,23.201095658265963,3,3
php,wordpress,24.301045666206715,3,3
javascript,angularjs,21.31860679884144,3,3
javascript,html,22.596885929311604,3,3
javascript,html5,26.729771309673534,3,3
javascript,twitter-bootstrap,31.658709317460826,3,3
javascript,node.js,37.40149646160739,3,9
javascript,reactjs,23.19190040565183,3,9
javascript,sass,25.13313076574851,3,3
json,rest,26.61371372468893,12,12
json,xml,27.010622489444646,12,12
cloud,amazon-web-services,20.85572142496804,2,2
amazon-web-services,devops,66.67420569975171,2,2
amazon-web-services,docker,126.57112712972764,2,2
devops,docker,75.53660009612221,2,2
devops,jenkins,87.13826986156899,2,2
docker,go,24.71031260188158,2,2
docker,jenkins,31.56405510257182,2,2
ios,android,25.340535324481124,6,6
ios,swift,31.264824668848835,6,6
ios,osx,22.210413043130057,6,6
ios,objective-c,40.96336126549837,6,6
ios,iphone,51.447604909108925,6,6
ios,xcode,24.98353120101788,6,6
android,android-studio,24.554202817668248,6,6
android,java,23.602587607535277,6,12
java,c,49.90594295368325,12,4
java,c++,42.33664313992495,12,4
java,hibernate,22.48925264318247,12,12
java,spring,32.198071014100535,12,12
java,jsp,28.375405907346195,12,12
java,java-ee,24.554202817668248,12,12
java,spring-mvc,26.52860759980952,12,12
typescript,angular,24.9192961821526,8,8
typescript,angular2,25.314659453818305,8,8
angular2,angularjs,29.349098676116647,8,3
angularjs,ionic-framework,20.22800685545149,3,3
angularjs,reactjs,28.403647769064776,3,9
angularjs,mongodb,24.37090250532431,3,9
angularjs,sass,24.228201856682706,3,3
angularjs,twitter-bootstrap,48.1136690894626,3,3
angularjs,express,32.62377908692168,3,9
angularjs,node.js,54.00592956009751,3,9
angularjs,asp.net-web-api,32.81595165036012,3,0
angularjs,html5,31.18349509959109,3,3
reactjs,express,30.728425581793207,9,9
reactjs,mongodb,45.26074988295236,9,9
reactjs,node.js,54.50523562629742,9,9
reactjs,react-native,49.61621727834464,9,9
reactjs,sass,54.50523562629742,9,3
reactjs,redux,31.924272588963444,9,9
mongodb,elasticsearch,21.543458417676824,9,9
mongodb,express,24.43382880528071,9,9
mongodb,node.js,58.829076622959285,9,9
mongodb,postgresql,48.76806081178149,9,9
mongodb,redis,25.251371861419308,9,9
sass,html,42.33664313992495,3,3
sass,html5,23.075440145975143,3,3
sass,less,56.20246391729147,3,3
sass,twitter-bootstrap,27.09695712998492,3,3
twitter-bootstrap,html5,27.70879277472438,3,3
express,redux,56.20246391729147,9,9
express,node.js,28.375405907346195,9,9
node.js,react-native,21.62593446217338,9,9
node.js,redux,59.82678558413366,9,9
html5,wordpress,22.757440009799737,3,3
html5,less,39.4069459855106,3,3
html5,twitter-bootstrap-3,32.52356510452292,3,3
nginx,apache,30.232903706376277,10,10
nginx,linux,34.100052024791246,10,10
nginx,redis,21.646667877763228,10,9
apache,linux,21.210956925188103,10,10
linux,bash,64.10989821309226,10,10
linux,git,39.90817378554484,10,10
linux,unix,103.26828446355265,10,10
linux,osx,21.35568889023083,10,6
linux,ubuntu,59.75548884052987,10,10
linux,shell,45.66104087971069,10,10
linux,windows,126.57112712972764,10,10
linux,python,23.639529235488705,10,4
scala,apache-spark,44.23362023021944,11,11
scala,hadoop,32.350506919162136,11,11
scala,haskell,22.2164407540198,11,11
apache-spark,hadoop,47.00636375705097,11,11
rest,api,23.082664020750425,12,12
rest,hibernate,20.92318766828214,12,12
rest,spring,22.16103641345508,12,12
rest,web-services,47.49277338891457,12,12
